C_Percentage,H_Percentage,N_Percentage,S_Percentage,O_Percentage,HHV
30.5,4.6,2.9,1.5,37.7,12.22
51.58,5.84,0.11,0.03,41.44,19.3
41.44,8.19,0.11,0.34,43.2,17.68
38.1,5.6,0.15,0.07,46.9,15.24
43,6,0.36,0.17,43.8,17.65
43.8,5.9,0.29,0.24,44.4,17.99
46,6.4,0.28,0.22,44.8,19
42.7,6.1,0.5,0.14,43.3,17.58
44.49,6.58,0.57,0,41.29,17.02
35,5,0.05,0.08,39.4,13.55
45.99,6.35,0.14,0.29,44.26,18.12
43.4,5.3,0.62,0.25,27.5,14.66
32.93,4.64,0.11,0.21,32.85,15.13
44.9,6.08,0,0.11,47.84,17.91
43.73,5.7,0.09,0.21,44.93,17.28
37.87,5.41,0.17,0.09,42.74,14.84
49.14,6.1,0.05,0.16,43.03,19.72
47.3,6.1,1.58,0.25,32,19.66
42.09,5.86,0.4,0.25,39.88,16.56
45.3,6.17,0.18,0.08,45.5,17.91
32.91,4.95,0.07,0.09,38.55,12.74
59.18,9.25,0.12,0.1,30.13,27.28
43.5,6,0.3,0.2,44,16.81
41.64,5.62,0.34,0.14,44.91,15.58
42.85,5.79,0.1,0.12,45.48,17.37
48.06,5.34,0.1,0.4,18.7,19.75
66.85,9.65,2,0,5.2,31.16
55,6.6,4.62,0.13,31.2,19.78
55.57,6.02,0.08,0.25,36.27,21.22
46.19,6.41,2.18,0.2,41.85,18.69
47.1,6.1,0.3,0.1,43.6,18.68
49.64,6.69,4.15,0.37,36.15,20.45
61.68,8.71,5.46,0.55,21.1,28.7
56.7,6.36,0.37,0.21,34.15,26.38
59.37,4.26,0.07,0,35.25,20.74
62.49,9.7,0.36,0.72,1.97,25.79
80.3,5.18,0,0,10.33,33.3
84.22,7.58,0.4,1.41,2.67,35.59
60.9,5.3,0.28,2.46,7.1,29
52.77,9.44,0.78,0.41,13.52,25.04
42.01,5.32,5.98,1,22.83,19.67
53.22,7.09,0.5,1.34,7.76,25.94
79.1,6.8,0.1,1.5,5.9,32.67
60,8,10,0.4,11.5,22.87
53.44,7.2,3.69,0.38,23.19,22.67
84.8,7.7,0.5,0.9,6.4,38
37.14,5.41,0.22,0.09,24.93,15.59
44.99,6.01,0.55,0,39.59,17.98
53,7.32,1.32,0,31.06,25.5
46.68,6.61,1.03,0.1,35.94,20.25
50.3,6.4,3.3,0.33,31.3,23.2
35.81,4.82,0.78,0.41,24.43,15.17
47.6,6,1.2,0.3,32.9,19.88
47.3,5,1.4,0.2,32.6,21.35
33.9,4.6,0.7,0.4,22.4,13.13
31.2,3.8,0.7,0.1,21.8,11.99
51.81,5.76,0.26,0.36,35.88,22.53
41.22,9.07,1.23,0.79,24.18,22.44
45.93,6.28,0.54,0.24,35.34,19.6
47.18,6.23,0.44,0.22,39.82,19.39
47.16,6.38,0.6,0.14,37.92,19.64
44.27,6.25,0.75,0.2,33.87,19.06
46.33,6.02,0.75,0.2,35.54,19.07
35.89,5.51,1.03,0.4,23,18.12
41.21,6.62,1.11,0.09,32.13,18.58
41.07,6.55,1.09,0.09,32.07,18.49
40.87,6.45,1.05,0.09,31.99,18.37
40.6,6.32,1.01,0.09,31.88,18.2
40.2,6.12,0.95,0.1,31.77,17.94
39.54,5.79,0.84,0.11,31.45,17.52
53.8,8.9,0.83,0.57,23.3,25.41
79.7,13.3,2.6,0.01,4.2,39.5
38,5,0,0,0,19.2
86,14,0,0,0,40.5
62.9,4.9,0,0.2,31.18,22.24
86,14,0,0,0,43.4
60,8,0,0,32,25.8
86.1,13,0,0,0.9,46.4
76.3,11.5,0.26,0.2,4.4,38.38
68.5,8,0.16,0.08,21.9,32.01
77.4,12.9,0.1,0.12,1.8,39.78
72.9,11.4,0.45,0.24,5.5,36.66
